sample-id	mouse-id	Sex	Strain	Animal_source	age	Unit_age	light_cycle	diet	feeding_schedule	Protocol REF	ionizing_radiation	dose	Unit	Time_of_Sample_Collection_After_Treatment	Unit_time	Time_of_Collection_categorical	dose_categorical
16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep1_10dM31	Mouse 31	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	10	day	10_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep2_10dM32	Mouse 32	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	10	day	10_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep3_10dM33	Mouse 33	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	10	day	10_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep4_10dM34	Mouse 34	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	10	day	10_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep5_10dM35	Mouse 35	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	10	day	10_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep6_10dM36	Mouse 36	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	10	day	10_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep7_10dM37	Mouse 37	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	10	day	10_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep8_10dM38	Mouse 38	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	10	day	10_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep9_10dM39	Mouse 39	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	10	day	10_days	0_dose
16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep10_10dM40	Mouse 40	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Sham-irradiated	0	gray	10	day	10_days	0_dose
16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep1_30dM1	Mouse 1	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	30	day	30_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep2_30dM2	Mouse 2	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	30	day	30_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep3_30dM3	Mouse 3	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	30	day	30_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep4_30dM4	Mouse 4	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	30	day	30_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep5_30dM5	Mouse 5	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	30	day	30_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep6_30dM6	Mouse 6	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	30	day	30_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep7_30dM7	Mouse 7	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	30	day	30_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep8_30dM8	Mouse 8	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	30	day	30_days	0.1_dose
